,date,ticker,name,reason,action
327,1997-06-17,USL,USLife,AIG acquired USLife.,removed
327,1997-06-17,CCI,Countrywide Credit Industries,AIG acquired USLife.,added
325,1998-12-11,GRN,General Re,Berkshire Hathaway purchased General Re.,removed
324,1998-12-11,LDW,Amoco,British Petroleum purchased Amoco.,removed
326,1998-12-11,CPWR,Compuware,AIG purchased SunAmerica.,added
326,1998-12-11,SUN,SunAmerica,AIG purchased SunAmerica.,removed
324,1998-12-11,FSR,Firstar,British Petroleum purchased Amoco.,added
325,1998-12-11,CCL,Carnival Corp.,Berkshire Hathaway purchased General Re.,added
323,1999-06-09,HPH,Harnischfeger Industries,Harnischfeger filed for bankruptcy.,removed
323,1999-06-09,WLP,Wellpoint,Harnischfeger filed for bankruptcy.,added
322,1999-12-07,LDW,Laidlaw,Market capitalization change.,removed
322,1999-12-07,YHOO,Yahoo!,Market capitalization change.,added
321,2000-06-07,SMS,Shared Medical Systems,Siemens AG acquired Shared Medical Systems.,removed
321,2000-06-07,SBUX,Starbucks,Siemens AG acquired Shared Medical Systems.,added
320,2000-06-12,CVG,Convergys,Tribune Co. acquired Times Mirror.,added
320,2000-06-12,TMC,Times Mirror,Tribune Co. acquired Times Mirror.,removed
319,2000-07-27,JDSU,JDS Uniphase,Market Cap change.,added
319,2000-07-27,RAD,RiteAid,Market Cap change.,removed
318,2000-12-05,CCK,Crown Holdings,Market Cap changes..,removed
315,2000-12-05,INTU,Intuit,Market Cap changes.,added
316,2000-12-05,SBL,Symbol Technologies,Market Cap changes..,added
317,2000-12-05,AYE,Allegheny Energy,Market Cap changes..,added
317,2000-12-05,GRA,WR Grace,Market Cap changes..,removed
316,2000-12-05,OI,Owens-Illinois,Market Cap changes..,removed
318,2000-12-05,ABK,Ambac Financial,Market Cap changes..,added
315,2000-12-05,BS,Bethlehem Steel,Market Cap changes.,removed
314,2003-09-25,QTRN,Quintiles Transnational,Taken private[243].,removed
314,2003-09-25,ESRX,Express Scripts,Taken private[243].,added
313,2005-07-01,GLK,Great Lakes Chemical,Acquired by Crompton Corp.,removed
313,2005-07-01,STZ,Constellation Brands,Acquired by Crompton Corp.,added
312,2005-11-18,T,AT&T Corporation,AT&T Corp. acquired by SBC Communications[241].,removed
312,2005-11-18,AMZN,Amazon,AT&T Corp. acquired by SBC Communications[241].,added
311,2006-06-02,ABS,Albertsons,Albertsons acquired by SuperValu and CVS Corp.,removed
311,2006-06-02,JNPR,Juniper Networks,Albertsons acquired by SuperValu and CVS Corp.,added
310,2007-01-10,AVB,AvalonBay Communities,Acquired by Motorola[239].,added
310,2007-01-10,SBL,Symbol Technologies,Acquired by Motorola[239].,removed
309,2007-03-30,KFT,Kraft Foods,Taken Private[238].,added
309,2007-03-30,TSG,Sabre Corporation,Taken Private[238].,removed
308,2007-07-02,DFS,Discover Financial Services,Discover Financial Services Debuts On New York Stock Exchange Under Ticker Symbol DFS.,added
307,2007-08-24,LUK,Leucadia National,Acquired by National Grid plc[237].,added
307,2007-08-24,KSE,KeySpan,Acquired by National Grid plc[237].,removed
306,2007-09-26,ICE,Intercontinental Exchange,FDC acquired by KKR.,added
306,2007-09-26,FDC,First Data,FDC acquired by KKR.,removed
305,2007-09-27,TSO,Tesoro Corporation,MXIM delisted from NASDAQ exchange.,added
305,2007-09-27,MXIM,Maxim Integrated Products,MXIM delisted from NASDAQ exchange.,removed
304,2007-10-01,TDC,Teradata,Teradata spun off by NCR Corporation.,added
304,2007-10-01,NCR,NCR Corporation,Teradata spun off by NCR Corporation.,removed
303,2007-10-02,EXPE,Expedia,Solectron acquired by Flextronics.,added
303,2007-10-02,SLR,Solectron,Solectron acquired by Flextronics.,removed
302,2007-10-26,JEC,Jacobs Engineering Group,Taken private[235].,added
302,2007-10-26,AV,Avaya,Taken private[235].,removed
301,2007-12-13,DJ,Dow Jones,Acquired by News Corporation[234].,removed
301,2007-12-13,GME,GameStop,Acquired by News Corporation[234].,added
300,2007-12-20,TRB,Tribune Media,Taken private[233].,removed
300,2007-12-20,RRC,Range Resources,Taken private[233].,added
299,2008-06-10,ABK,Ambac Financial,Market Value Decline[232].,removed
299,2008-06-10,LO,Lorillard Tobacco Company,Market Value Decline[232].,added
297,2008-06-23,BC,Brunswick,Market capitalization change.,removed
298,2008-06-23,MEE,Massey Energy,Market capitalization change.,added
297,2008-06-23,COG,Cabot Oil & Gas,Market capitalization change.,added
298,2008-06-23,OMX,OfficeMax,Market capitalization change.,removed
296,2008-07-01,CFC,Countrywide Financial Corp,Ak Steel replaced Countrywide Financial.,removed
296,2008-07-01,AKS,AK Steel,Ak Steel replaced Countrywide Financial.,added
295,2008-09-12,FAST,Fastenal,Capitalization rebalance.,added
295,2008-09-12,FNM,Fannie Mae,Capitalization rebalance.,removed
294,2008-09-12,FRE,Freddie Mac,Capitalization rebalance.,removed
294,2008-09-12,CRM,Salesforce,Capitalization rebalance.,added
293,2008-09-16,LEH,Lehman Brothers,Lehman Brothers filed for bankruptcy.,removed
293,2008-09-16,HRS,Harris Corporation,Lehman Brothers filed for bankruptcy.,added
292,2008-12-31,OI,Owens-Illinois,Wachovia Bank acquired by Wells Fargo.,added
292,2008-12-31,WB,Wachovia Bank,Wachovia Bank acquired by Wells Fargo.,removed
291,2009-03-03,VTR,Ventas,Capitalization rebalance..,added
290,2009-03-03,HRL,Hormel Foods,Capitalization rebalance.,added
291,2009-03-03,JNY,Jones Apparel Group,Capitalization rebalance..,removed
290,2009-03-03,ACAS,American Capital,Capitalization rebalance.,removed
289,2009-06-05,COV,Covidien,"Covidien moved its place of incorporation to Ireland, making it ineligible for inclusion in the index.",removed
289,2009-06-05,FTI,FMC Technologies,"Covidien moved its place of incorporation to Ireland, making it ineligible for inclusion in the index.",added
288,2009-08-19,CTX,Centex Corp.,Centex acquired by Pulte Homes.,removed
288,2009-08-19,FMC,FMC Corporation,Centex acquired by Pulte Homes.,added
287,2009-09-28,CBE,Cooper Industries,Redomesticated to Ireland[223].,removed
287,2009-09-28,ARG,Airgas,Redomesticated to Ireland[223].,added
286,2009-11-03,SGP,Schering-Plough,Acquired by Merck & Co. (MRK)[222].,removed
286,2009-11-03,PCLN,Priceline.com,Acquired by Merck & Co. (MRK)[222].,added
281,2009-12-18,CIEN,Ciena,Market capitalization change.,removed
283,2009-12-18,CLF,Cliffs Natural Resources,Market capitalization change.,added
284,2009-12-18,SAI,SAIC,Market capitalization change.,added
285,2009-12-18,ROST,Ross Stores,Market capitalization change.,added
282,2009-12-18,DYN,Dynegy,Market capitalization change.,removed
285,2009-12-18,MBI,MBIA,Market capitalization change.,removed
284,2009-12-18,CVG,Convergys,Market capitalization change.,removed
282,2009-12-18,MJN,Mead Johnson Nutrition,Market capitalization change.,added
281,2009-12-18,V,Visa,Market capitalization change.,added
283,2009-12-18,KBH,KB Home,Market capitalization change.,removed
280,2010-02-26,RX,IMS Health,Taken private[220].,removed
280,2010-02-26,HP,Helmerich & Payne,Taken private[220].,added
279,2010-04-29,CERN,Cerner,Acquired by Baker Hughes[219].,added
279,2010-04-29,BJS,BJ Services,Acquired by Baker Hughes[219].,removed
278,2010-06-28,KMX,CarMax,Acquired by ExxonMobil[218].,added
278,2010-06-28,XTO,XTO Energy,Acquired by ExxonMobil[218].,removed
277,2010-06-30,STR,Questar,"Company split. QEP retained, but ticker changed.",removed
277,2010-06-30,QEP,QEP Resources,"Company split. QEP retained, but ticker changed.",added
276,2010-07-14,CB,Chubb,Acquired by Merck KGaA (MKGAY)[216].,added
276,2010-07-14,MIL,Millipore,Acquired by Merck KGaA (MKGAY)[216].,removed
275,2010-08-26,TYC,Tyco International,Acquired by Schlumberger (SLB)[215].,added
275,2010-08-26,SII,Smith International,Acquired by Schlumberger (SLB)[215].,removed
